"ID","Etat","Département","Station","Longitude","Latitude","Elevation","Derniere_Activite","Source","Code","Licence","URL_Licence"
"00054","FR","57","Corny-sur-Moselle",6.055566,49.030046,180,"2025-11-16T15:20:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
"00057","FR","83","Toulon-Le Baou",5.9336,43.1267,118,"2025-11-16T15:15:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
"00059","FR","79","Niort",-0.4625,46.3244,16,"2025-11-16T15:20:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
"00053","FR","33","La Réole",-0.0619,44.5961,50,"2013-12-27T16:50:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"00060","FR","33","Canéjan",-0.6522,44.7636,49,"2025-11-16T15:20:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"00063","FR","33","La Teste de Buch",-1.1442,44.6328,10,"2025-11-16T15:20:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"00061","FR","91","Evry-Courcouronnes",2.4081,48.6183,80,"2025-11-16T15:20:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"00065","FR","64","Soumoulou",-0.1875,43.2656,290,"2025-11-16T15:20:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"00067","FR","79","Melle",-0.1431,46.2233,145,"0000-00-00T00:00:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"00070","FR","57","Montigny-lès-Metz",6.1831,49.1092,182,"1999-11-29T22:00:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"00072","FR","05","Briançon",6.635556,44.896389,1320,"0000-00-00T00:00:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"00074","FR","50","Saint-Jean-de-la-Haize",-1.3617,48.7,22,"2025-11-16T15:20:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"00075","FR","13","Peypin",5.5514,43.391332,300,"2025-11-16T15:20:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"00076","FR","38","Le-Péage-de-Roussillon",4.7969,45.3756,156,"2013-08-07T15:00:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"00081","FR","78","Verneuil-sur-Seine",1.9733,48.9811,40,"2025-07-15T06:40:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"00080","FR","17","Angliers",-0.9514,46.2111,5,"2018-01-02T11:20:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
"00083","FR","05","Saint-Véran",6.8678,44.7014,2040,"2020-06-04T20:10:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
"00086","FR","56","Saint-Malo-des-Trois-Fontaines",-2.470833,48.013889,60,"2025-11-16T15:10:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
"00088","FR","84","Orange Centre",4.81,44.1369,44,"2022-09-04T22:00:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"00089","FR","91","Villemoisson-sur-Orge",2.3336,48.6875,80,"2025-11-16T15:00:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
"00091","BE","","Namur - Floriffoux",4.774342,50.458344,116,"2025-11-16T15:15:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
"00092","FR","22","Mûr-de-Bretagne",-2.9858,48.2019,160,"0000-00-00T00:00:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"00093","FR","83","Brignoles Ouest",6.02975875139236,43.4170753888361,275,"2018-04-04T08:50:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
"00094","FR","38","Miribel-les-Echelles",5.70917,45.42917,760,"2025-11-16T15:20:00Z","infoclimat.fr",1,"CC BY","https://creativecommons.org/licenses/by/2.0/fr/"
"00095","FR","29","Quimper",-4.1092,47.995,30,"0000-00-00T00:00:00Z","infoclimat.fr",2,"NON-COMMERCIAL ONLY: CC BY NC","https://creativecommons.org/licenses/by-nc/2.0/fr/"
