station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
STATIC0192,2024-01-02 14:10:00,4.4,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-02 14:30:00,4.4,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-02 15:20:00,4.5,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":46.36738,"lon":5.811159},liveobjects
STATIC0192,2024-01-02 15:30:00,4.4,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-117,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-02 15:40:00,4.4,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":46.367313,"lon":5.811282},liveobjects
STATIC0192,2024-01-02 15:50:00,4.4,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-02 16:00:00,4.3,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":46.36725,"lon":5.811403},liveobjects
STATIC0192,2024-01-02 16:20:00,4.4,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-02 16:40:00,4.7,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-02 16:50:00,4.7,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-116,"lat":null,"lon":null},liveobjects
STATIC0192,2024-01-02 17:30:00,4.8,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-117,"lat":null,"lon":null},liveobjects
