station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
STATIC0300,2024-07-14 20:30:00,12.4,,,93,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-14 20:40:00,12.1,,,93,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-14 20:50:00,12.4,,,94,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-14 21:00:00,12.1,,,94,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-14 21:10:00,11.7,,,94,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-14 21:20:00,11.7,,,95,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-14 21:30:00,11.6,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-14 21:40:00,11.8,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-14 21:50:00,11.5,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-14 22:00:00,11.8,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-14 22:10:00,11.7,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-14 22:20:00,11.8,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-100,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-14 22:30:00,11.6,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-103,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-14 22:40:00,11.6,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-100,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-14 22:50:00,11.3,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-99,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-14 23:00:00,10.8,,,96,,,,,,,,,,,,,,,,,,,,,,{"rssi":-101,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-14 23:10:00,10.7,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-99,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-14 23:20:00,10.6,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-101,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-14 23:30:00,11,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-101,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-14 23:40:00,11,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-101,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-14 23:50:00,11.1,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-101,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-15 00:00:00,11.4,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-100,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-15 00:10:00,11.3,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-101,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 00:20:00,11.2,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-105,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-15 00:30:00,11.5,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-99,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 00:40:00,11.7,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-102,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-15 00:50:00,11.8,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-104,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 01:00:00,12,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-101,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 01:10:00,12,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-99,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-15 01:20:00,11.5,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-101,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-15 01:30:00,11.6,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-98,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 01:40:00,11.6,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-101,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-15 01:50:00,11.6,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-100,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-15 02:00:00,11.4,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-101,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-15 02:10:00,11.5,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-102,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 02:20:00,11.8,,,99,,,,,,,,,,,,,,,,,,,,,,{"rssi":-101,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-15 02:30:00,11.9,,,99,,,,,,,,,,,,,,,,,,,,,,{"rssi":-100,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-15 02:40:00,12,,,99,,,,,,,,,,,,,,,,,,,,,,{"rssi":-100,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-15 02:50:00,12,,,99,,,,,,,,,,,,,,,,,,,,,,{"rssi":-105,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-15 03:00:00,12,,,99,,,,,,,,,,,,,,,,,,,,,,{"rssi":-99,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 03:10:00,12.2,,,99,,,,,,,,,,,,,,,,,,,,,,{"rssi":-101,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 03:20:00,12.3,,,99,,,,,,,,,,,,,,,,,,,,,,{"rssi":-102,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-15 03:30:00,12.3,,,99,,,,,,,,,,,,,,,,,,,,,,{"rssi":-101,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 03:40:00,12.4,,,99,,,,,,,,,,,,,,,,,,,,,,{"rssi":-103,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-15 03:50:00,12.4,,,99,,,,,,,,,,,,,,,,,,,,,,{"rssi":-99,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-15 04:00:00,12.7,,,99,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 04:10:00,12.7,,,99,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 04:20:00,12.6,,,99,,,,,,,,,,,,,,,,,,,,,,{"rssi":-107,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-15 04:30:00,12.4,,,99,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 04:40:00,11.9,,,99,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 04:50:00,11.8,,,99,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 05:00:00,12.1,,,99,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 05:10:00,12.1,,,99,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":40.74},liveobjects
STATIC0300,2024-07-15 05:20:00,12.2,,,99,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 05:30:00,13.3,,,99,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 05:40:00,13.9,,,99,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 05:50:00,14.4,,,99,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 06:00:00,14.6,,,98,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 06:10:00,15,,,97,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 06:20:00,16.7,,,89,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 06:30:00,17.5,,,84,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 06:40:00,17.9,,,83,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 06:50:00,18,,,83,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 07:00:00,18.9,,,79,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 07:10:00,18.5,,,80,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 07:20:00,19.6,,,77,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 07:30:00,19.6,,,75,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 07:40:00,19.6,,,78,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 07:50:00,19.8,,,78,,,,,,,,,,,,,,,,,,,,,,{"rssi":-109,"lat":null,"lon":null,"batt":40.68},liveobjects
STATIC0300,2024-07-15 08:00:00,20.3,,,78,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":40.68},liveobjects
