station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000UO,2024-11-21 05:10:00,-0.5,,,81,,,,,,,,,,,,,,,,,,,,,,{"rssi":-110,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-21 05:20:00,-0.5,,,79,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-21 05:30:00,-0.5,,,77,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-21 05:50:00,-0.8,,,78,,,,,,,,,,,,,,,,,,,,,,{"rssi":-105,"lat":null,"lon":null,"batt":35.88},liveobjects
000UO,2024-11-21 06:00:00,-0.9,,,78,,,,,,,,,,,,,,,,,,,,,,{"rssi":-108,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-21 06:20:00,-1.1,,,80,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-21 06:30:00,-1.1,,,81,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":35.83},liveobjects
000UO,2024-11-21 06:40:00,-1.2,,,80,,,,,,,,,,,,,,,,,,,,,,{"rssi":-115,"lat":null,"lon":null,"batt":35.83},liveobjects
000UO,2024-11-21 06:50:00,-1.3,,,81,,,,,,,,,,,,,,,,,,,,,,{"rssi":-113,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-21 07:00:00,-1.3,,,81,,,,,,,,,,,,,,,,,,,,,,{"rssi":-114,"lat":null,"lon":null,"batt":35.88},liveobjects
000UO,2024-11-21 07:10:00,-1.4,,,82,,,,,,,,,,,,,,,,,,,,,,{"rssi":-111,"lat":null,"lon":null,"batt":35.85},liveobjects
000UO,2024-11-21 07:20:00,-1.5,,,83,,,,,,,,,,,,,,,,,,,,,,{"rssi":-112,"lat":null,"lon":null,"batt":35.83},liveobjects
